Department,Department_Division,PCN,Position_Title,FLSA_Status,Initial_Hire_Date,Date_in_Title,Salary
HSD,HSD 303 Pathways at Birdneck,B.006470.1     ,BH/DS Clinician II,Non Exempt,7/22/2015,7/22/2015,63902.02
HSD,HSD 303 Pathways at Birdneck,B.000410.3     ,BH/DS Clinician III,Exempt,4/1/1997,6/16/2003,78431.08
HSD,HSD 303 Pathways at Birdneck,B.006472.2     ,Licensed Practical Nurse (LPN),Non Exempt,11/19/2020,11/19/2020,48443.20
HSD,HSD 303 Pathways at Birdneck,B.002344.1     ,Administrative Assistant,Non Exempt,10/1/2011,1/7/2015,40014.26
HSD,HSD 303 Pathways at Birdneck,N.030737,BH/DS Clinician I,Non Exempt,7/29/2021,NULL,23.18
HSD,HSD 303 Pathways at Birdneck,B.006473.2     ,Registered Nurse,Non Exempt,8/13/2020,8/13/2020,60486.40
HSD,HSD 303 Pathways at Birdneck,B.006570.1     ,Registered Nurse,Non Exempt,7/7/2016,7/7/2016,71144.06
HSD,HSD 303 Pathways at Birdneck,B.002857.1     ,BH/DS Supervisor II,Exempt,9/16/2013,9/16/2013,90095.20
HSD,HSD 303 Pathways at Birdneck,N.030735,BH/DS Clinician I,Non Exempt,4/1/2006,11/22/2016,23.42
HSD,HSD 303 Pathways at Birdneck,P.050044.1     ,BH/DS Clinician I,Non Exempt,1/30/2020,NULL,23.18
HSD,HSD 303 Pathways at Birdneck,N.030732,BH/DS Clinician I,Non Exempt,10/7/2014,NULL,23.18
HSD,HSD 303 Pathways at Birdneck,N.030736,BH/DS Clinician I,Non Exempt,8/1/2007,8/1/2007,23.41
HSD,HSD 303 Pathways at Birdneck,B.004832.3     ,BH/DS Clinician III,Exempt,7/1/1989,10/22/2014,85378.28
HSD,HSD 303 Pathways at Birdneck,B.002126.1     ,Food Service Assistant,Non Exempt,7/22/2016,1/30/2020,28314.26
HSD,HSD 303 Pathways at Birdneck,B.003436.2     ,BH/DS Clinician IV,Exempt,7/7/2015,12/31/2020,79979.38
HSD,HSD 305 Prevention,B.003087.1     ,Human Services Educator II,Exempt,8/1/2007,5/20/2021,60528.00
HSD,HSD 305 Prevention,B.005048.3     ,Human Services Educator II,Exempt,10/16/2012,8/22/2016,65472.68
HSD,HSD 305 Prevention,B.004817.1     ,BH/DS Supervisor I,Exempt,7/1/1990,8/1/2007,96387.20
HSD,HSD 305 Prevention,B.002376.1     ,Office Assistant II,Non Exempt,5/7/2020,5/7/2020,32842.42
HSD,HSD 305 Prevention,B.004989.1     ,Human Services Educator II,Exempt,1/16/2001,6/1/2004,74811.88
HSD,HSD 313 Adult Correctional Services,B.004553.2     ,BH/DS Clinician III,Exempt,6/1/2011,8/7/2014,70423.08
HSD,HSD 313 Adult Correctional Services,B.000853.3     ,BH/DS Supervisor II,Exempt,1/16/2011,6/22/2017,89960.00
HSD,HSD 313 Adult Correctional Services,B.006471.1     ,BH/DS Clinician II,Non Exempt,4/1/2005,11/1/2005,64962.82
HSD,HSD 313 Adult Correctional Services,B.004811.2     ,BH/DS Clinician II,Non Exempt,9/1/2011,9/1/2011,60428.42
HSD,HSD 313 Adult Correctional Services,B.004551.1     ,Office Assistant II,Non Exempt,9/1/2007,3/22/2015,46696.00
HSD,HSD 313 Adult Correctional Services,B.002468.1     ,BH/DS Clinician II,Non Exempt,3/5/1986,6/1/2002,71369.22
HSD,HSD 313 Adult Correctional Services,B.006509.1     ,BH/DS Behavior Specialist I,Non Exempt,11/1/1996,10/16/2006,49373.74
HSD,HSD 313 Adult Correctional Services,B.006568.1     ,BH/DS Clinician II,Non Exempt,8/16/2005,3/1/2018,58369.22
HSD,HSD 314 HIV Prevention,G.004693.1     ,Human Services Educator II,Exempt,12/7/2017,12/7/2017,65451.88
HSD,HSD 315 Project LINK,B.004871.2     ,BH/DS Clinician III,Exempt,9/1/2010,5/1/2013,69487.08
HSD,HSD 315 Project LINK,B.005354.1     ,BH/DS Clinician II,Non Exempt,8/7/2016,8/7/2016,56538.82
HSD,HSD 401 Child Services,B.003062.1     ,Family Services Specialist II,Non Exempt,3/26/2020,3/26/2020,53814.02
HSD,HSD 401 Child Services,B.006542.2     ,Family Services Specialist I,Non Exempt,4/11/2019,4/11/2019,49880.74
HSD,HSD 401 Child Services,B.003027.1     ,Family Services Specialist II,Non Exempt,11/16/2013,9/12/2019,57391.62
HSD,HSD 401 Child Services,B.000102.5     ,Family Services Specialist I,Non Exempt,11/22/2016,9/13/2018,49880.74
HSD,HSD 401 Child Services,B.003880.1     ,Family Services Specialist II,Non Exempt,11/19/2020,11/19/2020,52187.20
HSD,HSD 401 Child Services,B.004290.2     ,Family Services Specialist II,Non Exempt,3/1/2014,4/27/2017,56014.40
HSD,HSD 401 Child Services,B.001233.1     ,Family Services Specialist I,Non Exempt,9/13/2018,9/13/2018,49880.74
HSD,HSD 401 Child Services,B.003264.1     ,Human Services Supervisor I,Exempt,6/16/2007,6/16/2007,95494.36
HSD,HSD 401 Child Services,B.004394.2     ,Family Services Specialist II,Non Exempt,1/2/2020,1/2/2020,57350.02
HSD,HSD 401 Child Services,B.007022,Family Services Specialist I,Non Exempt,4/8/2021,4/8/2021,47278.40
HSD,HSD 401 Child Services,B.002049.1     ,Human Services Supervisor I,Exempt,4/13/2017,4/13/2017,81631.16
HSD,HSD 401 Child Services,B.006962.1     ,Family Services Specialist I,Non Exempt,7/19/2004,7/6/2017,51128.74
HSD,HSD 401 Child Services,B.006244.1     ,Family Services Specialist II,Non Exempt,10/1/2010,11/1/2012,59929.22
HSD,HSD 401 Child Services,B.002959.1     ,Family Services Specialist II,Non Exempt,10/12/2017,9/13/2018,56330.82
HSD,HSD 401 Child Services,B.000909.2     ,Human Services Supervisor I,Exempt,9/13/2018,9/13/2018,79996.80
HSD,HSD 401 Child Services,B.002331.1     ,Family Services Assistant,Non Exempt,7/1/2009,7/1/2009,37044.02
HSD,HSD 401 Child Services,B.003911.1     ,Family Services Specialist I,Non Exempt,6/6/2019,6/6/2019,48757.54
HSD,HSD 401 Child Services,B.004201.1     ,Family Services Assistant,Non Exempt,6/21/2018,6/21/2018,34381.62
HSD,HSD 401 Child Services,B.000108.1     ,Family Services Specialist II,Non Exempt,1/1/2011,7/7/2014,59263.62
HSD,HSD 401 Child Services,B.006531.1     ,Family Services Specialist II,Non Exempt,6/22/2015,7/6/2017,58806.02
HSD,HSD 401 Child Services,B.005203.2     ,Family Services Specialist II,Non Exempt,4/12/2018,4/9/2020,56143.62
HSD,HSD 401 Child Services,B.006928.1     ,Family Services Specialist I,Non Exempt,8/7/2014,8/7/2014,52064.74
HSD,HSD 401 Child Services,B.004402.1     ,Family Services Specialist III,Exempt,7/16/1999,2/1/2006,74135.88
HSD,HSD 401 Child Services,B.002679.1     ,Family Services Specialist III,Exempt,10/22/2015,12/6/2018,59201.48
HSD,HSD 401 Child Services,B.007278,Family Services Specialist II,Non Exempt,10/26/2017,7/16/2020,56143.62
HSD,HSD 401 Child Services,B.000073.1     ,Family Services Specialist II,Non Exempt,10/11/2018,10/11/2018,58598.02
HSD,HSD 401 Child Services,B.004207.1     ,Family Services Specialist II,Non Exempt,6/19/2002,6/16/2006,67874.82
HSD,HSD 401 Child Services,B.003307,Office Assistant II,Non Exempt,1/1/2008,1/1/2008,39165.62
HSD,HSD 401 Child Services,B.006532.1     ,Family Services Specialist I,Non Exempt,4/11/2019,4/11/2019,49880.74
HSD,HSD 401 Child Services,B.003329.1     ,Family Services Specialist II,Non Exempt,11/16/2009,11/1/2012,59929.22
HSD,HSD 401 Child Services,B.000839.1     ,Family Services Specialist II,Non Exempt,4/16/1993,7/16/1998,73386.82
HSD,HSD 401 Child Services,B.006131.2     ,Human Services Supervisor II,Exempt,6/16/1994,4/27/2017,94681.60
HSD,HSD 401 Child Services,B.000809.1     ,Human Services Supervisor I,Exempt,9/1/1991,8/16/2011,95182.36
HSD,HSD 401 Child Services,B.006094.1     ,Human Services Supervisor I,Exempt,9/1/2012,8/27/2020,74818.64
HSD,HSD 401 Child Services,B.006457.1     ,Family Services Specialist II,Non Exempt,9/1/2013,9/1/2013,59575.62
HSD,HSD 401 Child Services,B.001808.2     ,Family Services Specialist I,Non Exempt,6/8/2017,6/8/2017,51128.74
HSD,HSD 401 Child Services,B.001107.1     ,Family Services Specialist II,Non Exempt,4/16/1993,10/1/2000,63382.02
HSD,HSD 401 Child Services,B.005940.2     ,Human Services Supervisor I,Exempt,5/1/2013,4/1/2014,81631.16
HSD,HSD 401 Child Services,B.002080.1     ,Family Services Specialist II,Non Exempt,6/1/2009,6/1/2009,61593.22
HSD,HSD 401 Child Services,B.005105.1     ,Human Services Supervisor I,Exempt,10/16/2012,4/12/2018,81641.56
HSD,HSD 401 Child Services,B.004568.1     ,Human Services Supervisor I,Exempt,8/18/1997,11/7/2016,81631.16
HSD,HSD 401 Child Services,B.006454.1     ,Family Services Specialist II,Non Exempt,4/12/2018,3/28/2019,56330.82
HSD,HSD 401 Child Services,B.003352.1     ,Family Services Specialist III,Exempt,4/1/1985,4/1/2005,80687.88
HSD,HSD 401 Child Services,B.000010.1     ,Family Services Specialist II,Non Exempt,4/1/2010,4/1/2010,61177.22
HSD,HSD 401 Child Services,B.001008.1     ,Family Services Specialist I,Non Exempt,4/22/2021,4/22/2021,47278.40
HSD,HSD 401 Child Services,B.004015.1     ,Family Services Specialist II,Non Exempt,11/1/2010,12/6/2018,55062.02
HSD,HSD 401 Child Services,B.005223.1     ,Family Services Specialist I,Non Exempt,1/1/2014,1/1/2014,53978.34
HSD,HSD 401 Child Services,B.006057.1     ,Family Services Specialist II,Non Exempt,3/1/2018,11/8/2018,56310.02
HSD,HSD 401 Child Services,B.001968.2     ,Family Services Specialist II,Non Exempt,1/5/1991,9/16/2006,63382.02
HSD,HSD 401 Child Services,B.002738.2     ,Family Services Specialist III,Exempt,3/14/2019,3/14/2019,63606.40
HSD,HSD 401 Child Services,B.005633.1     ,Family Services Specialist I,Non Exempt,6/1/2009,1/3/2019,54269.54
HSD,HSD 401 Child Services,B.006932.1     ,Family Services Specialist I,Non Exempt,9/10/2020,9/10/2020,47278.40
HSD,HSD 401 Child Services,B.000089.1     ,Family Services Specialist III,Exempt,9/2/2003,7/1/2010,69788.68
HSD,HSD 401 Child Services,B.001163,Office Assistant II,Non Exempt,2/16/2012,2/16/2012,37460.02
HSD,HSD 401 Child Services,B.006455.1     ,Family Services Specialist I,Non Exempt,3/29/2018,3/29/2018,51024.74
HSD,HSD 401 Child Services,B.002600.1     ,Family Services Specialist II,Non Exempt,4/1/2008,2/1/2013,59929.22
HSD,HSD 401 Child Services,B.002405.1     ,Family Services Specialist II,Non Exempt,7/29/2021,NULL,53923.22
HSD,HSD 401 Child Services,B.006199.1     ,Human Services Supervisor I,Exempt,8/16/2013,10/12/2017,81641.56
HSD,HSD 401 Child Services,B.005634.1     ,Family Services Specialist II,Non Exempt,9/28/2017,2/28/2019,56788.42
HSD,HSD 401 Child Services,B.007280,Human Services Supervisor II,Exempt,7/11/1994,5/23/2019,104520.00
HSD,HSD 401 Child Services,B.001222.1     ,Human Services Supervisor I,Exempt,1/1/2011,7/30/2020,72915.18
HSD,HSD 401 Child Services,B.000341.2     ,Family Services Specialist II,Non Exempt,2/24/1997,2/16/2000,71806.02
HSD,HSD 401 Child Services,B.003156.1     ,Human Services Supervisor I,Exempt,10/1/2002,10/12/2017,81641.56
HSD,HSD 401 Child Services,B.000072.1     ,Family Services Specialist II,Non Exempt,12/6/2018,12/6/2018,52187.20
HSD,HSD 401 Child Services,B.002035.1     ,Family Services Specialist II,Non Exempt,8/7/2016,11/5/2020,56143.62
HSD,HSD 401 Child Services,B.007020,Family Services Specialist I,Non Exempt,7/29/2021,NULL,47278.40
HSD,HSD 401 Child Services,B.006930.1     ,Family Services Specialist I,Non Exempt,11/22/2018,11/22/2018,49880.74
HSD,HSD 401 Child Services,B.002732.1     ,Family Services Specialist II,Non Exempt,6/16/1999,3/16/2003,67937.22
HSD,HSD 401 Child Services,B.003181.1     ,Human Services Supervisor I,Exempt,4/26/2018,4/26/2018,81641.56
HSD,HSD 401 Child Services,B.006933.1     ,Family Services Specialist I,Non Exempt,4/22/2021,4/22/2021,47278.40
HSD,HSD 401 Child Services,B.005533.1     ,Family Services Specialist I,Non Exempt,3/26/2020,3/26/2020,48757.54
HSD,HSD 401 Child Services,B.006929.1     ,Family Services Specialist I,Non Exempt,4/9/2020,4/9/2020,48757.54
HSD,HSD 401 Child Services,B.007023,Human Services Supervisor I,Exempt,7/4/2019,7/4/2019,72811.18
HSD,HSD 401 Child Services,B.001327.3     ,Child Welfare Administrator,Exempt,7/22/2016,7/22/2016,113579.18
HSD,HSD 401 Child Services,B.003088.3     ,Clerk II,Non Exempt,2/1/2014,9/27/2018,33670.00
HSD,HSD 401 Child Services,B.006453.2     ,Family Services Specialist II,Non Exempt,12/6/2018,12/6/2018,55062.02
HSD,HSD 401 Child Services,B.005532.2     ,Family Services Specialist III,Exempt,10/7/2014,6/3/2021,61822.28
HSD,HSD 401 Child Services,B.000562.1     ,Family Services Specialist II,Non Exempt,1/1/2007,1/1/2007,63382.02
HSD,HSD 401 Child Services,B.001594.2     ,Family Services Specialist III,Exempt,4/11/2019,4/11/2019,57953.48
HSD,HSD 401 Child Services,B.006931.1     ,Family Services Specialist I,Non Exempt,4/22/2021,4/22/2021,47278.40
HSD,HSD 401 Child Services,B.000467.1     ,Family Services Specialist I,Non Exempt,5/11/2017,5/11/2017,51128.74
HSD,HSD 401 Child Services,B.003927.1     ,Family Services Specialist II,Non Exempt,3/1/2014,9/30/2018,58951.62
HSD,HSD 401 Child Services,B.007021,Family Services Specialist I,Non Exempt,5/6/2021,5/6/2021,47278.40
HSD,HSD 401 Child Services,B.003465.1     ,Human Services Supervisor I,Exempt,11/19/2020,11/19/2020,63606.40
HSD,HSD 401 Child Services,B.000430.3     ,Family Services Specialist II,Non Exempt,11/1/2006,11/1/2010,60740.42
HSD,HSD 401 Child Services,B.004644.1     ,Family Services Specialist II,Non Exempt,9/1/2001,9/1/2001,69039.62
HSD,HSD 402 Benefit Program,B.003919,Eligibility Worker II,Non Exempt,12/6/2018,7/30/2020,47320.78
HSD,HSD 402 Benefit Program,B.002731,Eligibility Worker Supervisor,Non Exempt,10/16/2012,6/18/2020,64344.80
HSD,HSD 402 Benefit Program,B.001395,Eligibility Worker II,Non Exempt,10/16/2001,7/1/2012,58927.18
HSD,HSD 402 Benefit Program,B.000123,Eligibility Worker I,Non Exempt,5/1/2005,11/21/2019,47855.34
HSD,HSD 402 Benefit Program,B.007028,Eligibility Worker I,Non Exempt,12/7/2016,4/26/2018,43986.54
HSD,HSD 402 Benefit Program,B.004704,Eligibility Worker II,Non Exempt,6/1/2012,10/7/2016,51127.18
HSD,HSD 402 Benefit Program,B.004705,Eligibility Worker II,Non Exempt,9/16/1992,9/1/2000,62962.38
HSD,HSD 402 Benefit Program,B.000517,Eligibility Worker II,Non Exempt,3/1/2009,3/1/2009,53519.18
HSD,HSD 402 Benefit Program,B.004101,Eligibility Worker I,Non Exempt,11/7/2016,11/7/2016,44007.34
HSD,HSD 402 Benefit Program,B.002554,Eligibility Worker II,Non Exempt,9/14/2017,12/6/2018,48423.18
HSD,HSD 402 Benefit Program,B.002401,Eligibility Worker II,Non Exempt,4/29/1996,11/16/2001,61568.78
HSD,HSD 402 Benefit Program,B.004713.1     ,Eligibility Worker I,Non Exempt,6/7/2016,6/7/2016,45442.54
HSD,HSD 402 Benefit Program,B.004771,Eligibility Worker Assistant,Non Exempt,11/21/2019,11/21/2019,31259.54
HSD,HSD 402 Benefit Program,B.004398,Eligibility Worker II,Non Exempt,7/7/2014,5/7/2020,50024.78
HSD,HSD 402 Benefit Program,B.000498,Eligibility Worker I,Non Exempt,3/26/2020,3/26/2020,42031.34
HSD,HSD 402 Benefit Program,B.002938,Eligibility Worker Assistant,Non Exempt,1/31/2019,5/9/2019,31987.54
HSD,HSD 402 Benefit Program,B.002436,Eligibility Worker Assistant,Non Exempt,8/16/1999,10/16/2006,42408.34
HSD,HSD 402 Benefit Program,B.002587,Eligibility Worker II,Non Exempt,1/3/2019,1/3/2019,47487.18
HSD,HSD 402 Benefit Program,B.007026,Eligibility Worker I,Non Exempt,3/29/2017,12/6/2018,43008.94
HSD,HSD 402 Benefit Program,B.004818,Eligibility Worker I,Non Exempt,12/5/2019,12/5/2019,42031.34
HSD,HSD 402 Benefit Program,B.005106,Eligibility Worker II,Non Exempt,1/16/2014,7/7/2016,50856.78
HSD,HSD 402 Benefit Program,B.004603,Eligibility Worker II,Non Exempt,8/1/2002,7/1/2012,53373.58
HSD,HSD 402 Benefit Program,B.003107,Eligibility Worker Supervisor,Non Exempt,2/28/2019,2/28/2019,64344.80
HSD,HSD 402 Benefit Program,B.005489,Eligibility Worker II,Non Exempt,5/9/2019,5/9/2019,47487.18
HSD,HSD 402 Benefit Program,B.004768,Eligibility Worker I,Non Exempt,1/16/2020,6/3/2021,42031.34
HSD,HSD 402 Benefit Program,B.003301,Eligibility Worker I,Non Exempt,8/31/2017,8/31/2017,44111.34
HSD,HSD 402 Benefit Program,B.004400,Clerk II,Non Exempt,6/16/2013,9/27/2018,33961.20
HSD,HSD 402 Benefit Program,B.004764,Eligibility Worker II,Non Exempt,1/17/2019,1/17/2019,47320.00
HSD,HSD 402 Benefit Program,B.004263,Eligibility Worker I,Non Exempt,12/7/2017,12/7/2017,44007.34
HSD,HSD 402 Benefit Program,B.002464,Eligibility Worker I,Non Exempt,9/13/2018,8/29/2019,42031.34
HSD,HSD 402 Benefit Program,B.002062,Eligibility Worker II,Non Exempt,1/16/2014,7/7/2016,50856.78
HSD,HSD 402 Benefit Program,B.001645.2     ,Eligibility Coordinator,Exempt,7/16/2013,7/18/2019,74979.32
HSD,HSD 402 Benefit Program,B.007502,Eligibility Worker II,Non Exempt,7/22/2014,7/22/2014,51106.38
HSD,HSD 402 Benefit Program,B.007291,Eligibility Worker Supervisor,Non Exempt,1/7/2016,1/17/2019,65670.02
HSD,HSD 402 Benefit Program,B.003000,Eligibility Worker I,Non Exempt,6/3/2021,6/3/2021,40768.00
HSD,HSD 402 Benefit Program,B.003681,Eligibility Worker II,Non Exempt,10/1/2002,12/1/2007,58594.38
HSD,HSD 402 Benefit Program,B.007025,Eligibility Worker I,Non Exempt,1/3/2019,1/3/2019,43008.94
HSD,HSD 402 Benefit Program,B.006959,Eligibility Worker I,Non Exempt,9/24/2020,9/24/2020,40768.00
HSD,HSD 402 Benefit Program,B.004772,Eligibility Worker Assistant,Non Exempt,8/1/2002,12/7/2014,42741.14
HSD,HSD 402 Benefit Program,B.004822.2     ,Eligibility Coordinator,Exempt,9/14/2017,10/25/2018,73960.12
HSD,HSD 402 Benefit Program,B.004770,Eligibility Worker Assistant,Non Exempt,5/1/2009,3/16/2011,35627.54
HSD,HSD 402 Benefit Program,B.001799,Eligibility Worker Supervisor,Non Exempt,1/1/2009,11/7/2016,68186.82
HSD,HSD 402 Benefit Program,B.003413,Eligibility Worker II,Non Exempt,1/4/2021,1/4/2021,44990.40
HSD,HSD 402 Benefit Program,B.000945,Eligibility Worker II,Non Exempt,6/16/2011,7/4/2019,50523.98
HSD,HSD 402 Benefit Program,B.005636,Eligibility Worker Assistant,Non Exempt,1/22/1991,2/1/2004,44428.80
HSD,HSD 402 Benefit Program,B.004358,Eligibility Worker II,Non Exempt,10/1/2012,7/4/2019,51439.18
HSD,HSD 402 Benefit Program,B.005490,Eligibility Worker II,Non Exempt,5/1/2013,7/7/2016,51106.38
HSD,HSD 402 Benefit Program,B.007435,Family Services Specialist II,Non Exempt,7/16/2013,8/7/2015,59076.42
HSD,HSD 402 Benefit Program,B.000157.1     ,Eligibility Worker Supervisor,Non Exempt,1/16/1999,11/7/2016,68186.82
HSD,HSD 402 Benefit Program,B.000147,Eligibility Worker Supervisor,Non Exempt,1/7/2016,1/17/2019,65640.12
HSD,HSD 402 Benefit Program,B.000336,Eligibility Worker II,Non Exempt,5/9/2019,5/9/2019,47487.18
HSD,HSD 402 Benefit Program,B.004397.1     ,Eligibility Worker Supervisor,Non Exempt,8/15/2019,8/15/2019,60025.94
HSD,HSD 402 Benefit Program,B.000644,Eligibility Worker I,Non Exempt,3/12/2020,3/12/2020,42031.34
HSD,HSD 402 Benefit Program,B.001435,Eligibility Worker II,Non Exempt,8/30/2018,8/30/2018,47487.18
HSD,HSD 402 Benefit Program,B.001200,Eligibility Worker Supervisor,Non Exempt,7/18/2019,8/27/2020,59079.54
HSD,HSD 402 Benefit Program,B.002230,Eligibility Worker II,Non Exempt,3/16/2006,7/1/2012,51605.58
HSD,HSD 402 Benefit Program,B.002820,Eligibility Worker I,Non Exempt,8/30/2018,2/27/2020,42696.94
HSD,HSD 402 Benefit Program,B.003113,Eligibility Worker II,Non Exempt,9/26/2019,9/26/2019,47715.98
HSD,HSD 402 Benefit Program,B.004192,Eligibility Worker II,Non Exempt,11/9/2017,7/4/2019,48402.38
HSD,HSD 402 Benefit Program,B.007501,Eligibility Worker II,Non Exempt,1/3/2019,1/3/2019,47487.18
HSD,HSD 402 Benefit Program,B.001047,Eligibility Worker II,Non Exempt,3/26/2020,3/26/2020,46384.78
HSD,HSD 402 Benefit Program,B.007506,Eligibility Worker Supervisor,Non Exempt,1/16/2007,5/23/2019,65670.02
HSD,HSD 402 Benefit Program,B.007284,Eligibility Worker II,Non Exempt,10/1/2001,7/4/2019,48402.38
HSD,HSD 402 Benefit Program,B.003628,Eligibility Worker I,Non Exempt,3/12/2020,3/12/2020,42031.34
HSD,HSD 402 Benefit Program,B.001037,Eligibility Worker I,Non Exempt,4/16/2014,4/16/2014,46440.94
HSD,HSD 402 Benefit Program,B.004763.1     ,Eligibility Worker I,Non Exempt,11/21/2019,11/21/2019,42031.34
HSD,HSD 402 Benefit Program,B.004419,Eligibility Worker II,Non Exempt,2/1/2004,10/7/2016,51355.98
HSD,HSD 402 Benefit Program,B.007500,Eligibility Worker II,Non Exempt,7/20/2017,7/4/2019,48402.38
HSD,HSD 402 Benefit Program,B.002276,Eligibility Worker Supervisor,Non Exempt,2/16/2010,3/29/2018,65670.02
HSD,HSD 402 Benefit Program,B.001232,Eligibility Worker II,Non Exempt,3/29/2018,8/2/2018,48568.78
HSD,HSD 402 Benefit Program,B.002223,Eligibility Worker Supervisor,Non Exempt,5/14/1991,3/16/2013,68602.82
HSD,HSD 402 Benefit Program,B.005637,Eligibility Worker Assistant,Non Exempt,8/16/2010,8/16/2010,35731.54
HSD,HSD 402 Benefit Program,B.004302,Eligibility Worker I,Non Exempt,3/12/2020,3/12/2020,42031.34
HSD,HSD 402 Benefit Program,B.007287,Eligibility Worker II,Non Exempt,8/16/2018,8/16/2018,47487.18
HSD,HSD 402 Benefit Program,B.002511.2     ,Eligibility Worker Assistant,Non Exempt,8/26/1991,9/27/2018,44428.80
HSD,HSD 402 Benefit Program,B.000898,Eligibility Worker I,Non Exempt,4/27/2017,4/27/2017,42530.54
HSD,HSD 402 Benefit Program,B.003779,Eligibility Worker Supervisor,Non Exempt,1/1/1997,7/6/2017,73719.62
HSD,HSD 402 Benefit Program,B.002142,Eligibility Worker II,Non Exempt,11/22/2018,1/2/2020,47320.78
HSD,HSD 402 Benefit Program,B.006960,Eligibility Worker I,Non Exempt,11/9/2017,11/9/2017,44007.34
HSD,HSD 402 Benefit Program,B.004711,Eligibility Worker Assistant,Non Exempt,8/12/2021,8/12/2021,30326.40
HSD,HSD 402 Benefit Program,B.007505,Eligibility Worker Supervisor,Non Exempt,2/16/2008,1/17/2019,65670.02
HSD,HSD 402 Benefit Program,B.004418,Eligibility Worker I,Non Exempt,10/1/2007,7/22/2016,47418.54
HSD,HSD 402 Benefit Program,B.004824,Eligibility Worker II,Non Exempt,1/1/2005,7/1/2012,51480.78
HSD,HSD 402 Benefit Program,B.007288,Eligibility Worker Supervisor,Non Exempt,4/27/2017,7/20/2017,65670.02
HSD,HSD 402 Benefit Program,B.004767,Eligibility Worker Assistant,Non Exempt,7/1/1999,7/1/1999,39246.74
HSD,HSD 402 Benefit Program,B.004821,Eligibility Worker I,Non Exempt,6/4/2020,6/4/2020,42031.34
HSD,HSD 402 Benefit Program,B.004766,Eligibility Worker II,Non Exempt,7/22/2016,3/15/2018,48568.78
HSD,HSD 402 Benefit Program,B.005491,Eligibility Worker II,Non Exempt,12/6/2018,12/6/2018,47320.78
HSD,HSD 402 Benefit Program,B.004259,Eligibility Worker Assistant,Non Exempt,5/25/2017,10/25/2018,32549.14
HSD,HSD 402 Benefit Program,B.002606,Eligibility Worker II,Non Exempt,8/1/2007,8/1/2007,56909.58
HSD,HSD 402 Benefit Program,B.001612,Eligibility Worker II,Non Exempt,1/1/2009,6/4/2020,61173.58
HSD,HSD 402 Benefit Program,B.007286,Eligibility Worker III,Non Exempt,12/1/1996,11/21/2019,59352.28
HSD,HSD 402 Benefit Program,B.000884,Eligibility Worker I,Non Exempt,9/1/2008,7/1/2010,48375.34
HSD,HSD 402 Benefit Program,B.003309,Eligibility Worker II,Non Exempt,1/17/2019,1/17/2019,51834.38
HSD,HSD 402 Benefit Program,B.007499,Eligibility Worker II,Non Exempt,10/22/2016,1/17/2019,47487.18
HSD,HSD 402 Benefit Program,B.003593,Eligibility Worker I,Non Exempt,11/22/2016,11/22/2016,44007.34
HSD,HSD 402 Benefit Program,B.003050.2     ,Clerk III,Non Exempt,10/22/2014,1/14/2021,33716.28
HSD,HSD 403 Employment Services,B.002668.2     ,DHS Housing Resources Administrator,Exempt,1/4/1999,8/1/2013,102870.04
HSD,HSD 403 Employment Services,B.005840.1     ,Family Services Specialist II,Non Exempt,10/1/1998,1/1/2014,60241.22
HSD,HSD 403 Employment Services,B.000829.1     ,Family Services Specialist II,Non Exempt,9/1/2006,4/16/2008,63486.02
HSD,HSD 403 Employment Services,B.004624.1     ,Family Services Assistant,Non Exempt,9/16/2006,9/16/2006,38146.42
HSD,HSD 403 Employment Services,B.007436.1     ,Family Services Specialist II,Non Exempt,12/1/2008,9/12/2019,61697.22
HSD,HSD 403 Employment Services,B.002689.1     ,Human Services Supervisor I,Exempt,10/16/2001,9/1/2011,95182.36
HSD,HSD 403 Employment Services,B.000231.1     ,Administrative Assistant,Non Exempt,11/16/2012,11/16/2012,40742.26
HSD,HSD 403 Employment Services,B.002869.1     ,Family Services Specialist II,Non Exempt,8/1/1983,7/1/2009,76502.40
HSD,HSD 403 Employment Services,B.000342.1     ,Family Services Specialist II,Non Exempt,1/1/2009,3/16/2011,60740.42
HSD,HSD 403 Employment Services,B.001600.1     ,Family Services Specialist II,Non Exempt,4/16/2005,8/16/2006,63382.02
HSD,HSD 403 Employment Services,B.003984.1     ,Human Services Supervisor I,Exempt,10/16/2006,4/1/2013,81631.16
HSD,HSD 403 Employment Services,B.004393.1     ,Human Services Supervisor I,Exempt,1/4/1999,9/1/2011,95182.36
HSD,HSD 403 Employment Services,B.006562.1     ,Family Services Specialist I,Non Exempt,2/16/2011,2/16/2011,55247.14
HSD,HSD 403 Employment Services,B.005844.1     ,Family Services Assistant,Non Exempt,3/1/2006,3/1/2006,38333.62
HSD,HSD 403 Employment Services,G.006462.2     ,BH/DS Clinician II,Non Exempt,5/16/2012,5/16/2012,60324.42
HSD,HSD 403 Employment Services,B.007437.1     ,Human Services Supervisor I,Exempt,11/23/1998,10/25/2018,81641.56
HSD,HSD 403 Employment Services,B.003619.1     ,Family Services Specialist II,Non Exempt,10/16/2005,12/22/2015,61177.22
HSD,HSD 403 Employment Services,B.003315,Administrative Technician,Non Exempt,11/25/2020,3/25/2021,36920.00
HSD,HSD 403 Employment Services,B.000626.1     ,Family Services Specialist II,Non Exempt,11/13/1984,7/1/1996,76502.40
